City,Room Type,Price,Guests,Rating,lat,lng
"Manali, India",Hotel/Other,8946,3,4.650204081632653,32.2233,77.18228
"Manali, India",Hotel/Other,9124,9,4.650204081632653,32.22352,77.18152
"Goa, India",Private Room,9900,4,4.0,15.504,73.866
"Bhuntar, India",Shared Room,8684,1,4.650204081632653,31.88656,77.14467
"Bhuntar, India",Hotel/Other,4274,3,4.650204081632653,32.01248,77.29114
"Bhuntar, India",Hotel/Other,4274,2,4.650204081632653,32.01204,77.2909
"Gurugram, India",Hotel/Other,1734,16,4.650204081632653,28.36673,77.00647
"Ganaheda, India",Hotel/Other,1804,12,4.650204081632653,26.49372,74.5383
"Banjar, India",Hotel/Other,2822,3,4.650204081632653,31.63839,77.34503
"Morjim, India",Entire Place,902,12,4.650204081632653,15.62707,73.7327
"Gurugram, India",Hotel/Other,1443,16,4.650204081632653,28.35517,77.00426
"Awas, India",Entire Place,912,15,4.650204081632653,18.76514,72.87878
"Bengaluru, India",Private Room,882,16,4.650204081632653,13.12752,77.56391
"Sangolda, India",Entire Place,1374,16,4.650204081632653,15.54799,73.81177
"Rishikesh, India",Entire Place,788,8,4.650204081632653,30.13704,78.30683
"Parra, India",Entire Place,978,16,4.650204081632653,15.57329,73.7767
"New Delhi, India",Hotel/Other,962,16,4.650204081632653,28.496,77.166
"Aru, India",Entire Place,782,10,4.650204081632653,34.09091,75.26407
"North Goa, India",Entire Place,854,16,4.650204081632653,15.56203,73.78613
"Mararikulam, India",Entire Place,1443,16,4.650204081632653,9.58429,76.3051
"Awas, India",Entire Place,1325,16,4.89,18.76034,72.88551
"Canacona, India",Entire Place,1220,13,4.650204081632653,14.9939,74.0571
"Nainital, India",Entire Place,842,16,4.650204081632653,29.38514,79.45673
"Pathau, India",Entire Place,913,8,4.650204081632653,30.1373,78.30656
"Anjuna, India",Entire Place,1185,10,4.650204081632653,15.58917,73.75996
"Nathuwakhan, India",Hotel/Other,1118,12,4.650204081632653,29.47118,79.58584
"Manali, India",Hotel/Other,962,16,4.650204081632653,32.29923,77.17704
"Loutolim, India",Entire Place,902,14,4.650204081632653,15.33419,73.97759
"Candolim, India",Entire Place,782,16,4.650204081632653,15.51782,73.76411
"Karjat, India",Entire Place,962,16,4.650204081632653,18.91863,73.33386
"Assagao, India",Entire Place,842,8,4.650204081632653,15.59765,73.77297
"Panna, India",Entire Place,1443,8,4.650204081632653,24.71172,80.17358
"Nashik, India",Hotel/Other,1082,16,4.650204081632653,20.07376,73.64485
"Mumbai, India",Hotel/Other,1503,8,4.650204081632653,18.92245,72.83399
"Kullu, India",Hotel/Other,1203,2,4.650204081632653,32.03766,77.14406
"Lonavla, India",Private Room,1004,10,4.650204081632653,18.70197,73.45109
"Lonavla, India",Entire Place,902,12,4.650204081632653,18.77152,73.37963
"Nerul, India",Entire Place,1203,16,4.650204081632653,15.50637,73.79914
"SALIGAO, India",Entire Place,782,16,4.650204081632653,15.5554,73.78126
"Ribandar, India",Shared Room,1203,2,4.2,15.504,73.866
"Arpora, India",Private Room,1385,8,4.650204081632653,15.54944,73.7637
"Arpora, India",Private Room,1529,10,4.650204081632653,15.54762,73.76425
"Guirim, India",Entire Place,902,12,4.650204081632653,15.56865,73.8132
"New Delhi, India",Hotel/Other,1503,6,4.650204081632653,28.443,77.167
"Udaipur, India",Entire Place,1263,7,4.650204081632653,24.49092,73.58379
"Panaji, India",Private Room,1097,2,4.83,15.504,73.866
"New Delhi, India",Hotel/Other,1203,16,4.650204081632653,28.495,77.136
"Arpora, India",Entire Place,1172,16,4.650204081632653,15.535,73.767
"Kumarakom, India",Hotel/Other,788,16,4.650204081632653,9.58518,76.42182
"Anjuna, India",Entire Place,902,4,4.650204081632653,15.57058,73.7415
"New Delhi, India",Hotel/Other,962,16,4.650204081632653,28.49204,77.13633
"Panaji, India",Private Room,1168,15,4.650204081632653,15.49643,73.81885
"Calangute, India",Entire Place,842,14,4.650204081632653,15.54723,73.76524
"Assonora, India",Hotel/Other,1022,16,4.650204081632653,15.62133,73.89804
"New Delhi, India",Hotel/Other,1203,16,4.650204081632653,28.43832,77.18967
"Gauravaddo, India",Entire Place,888,10,4.33,15.535,73.767
"Gurugram, India",Hotel/Other,1311,16,4.650204081632653,28.36638,77.00665
"New Delhi, India",Hotel/Other,1203,16,4.650204081632653,28.44808,77.18313
"North Goa, India",Entire Place,842,16,4.650204081632653,15.55636,73.78057
"Goa, India",Entire Place,978,16,5.0,15.535,73.767
"Abu Road, India",Entire Place,1082,12,4.650204081632653,24.53351,72.79282
"Panjim, India",Hotel/Other,842,16,4.650204081632653,15.49783,73.83033
"Colovale, India",Entire Place,962,10,4.6,15.64852,73.81753
"Kukas, India",Hotel/Other,842,8,4.650204081632653,27.08777,75.88661
